City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coquimbo,-29.9533,-71.3436,62.33,94,100,4.61,CL,1673524437
East London,-33.0153,27.9116,85.14,79,0,6.91,ZA,1673524702
Torbay,47.6666,-52.7314,18.39,80,75,23.02,CA,1673524702
Rikitea,-23.1203,-134.9692,78.51,76,38,18.43,PF,1673524702
Laguna,38.421,-121.4238,57.45,78,100,6.91,US,1673524702
Aswān,24.0934,32.907,70.9,32,0,13.8,EG,1673524702
Shimoda,34.6667,138.95,49.89,52,27,4.07,JP,1673524702
Waingapu,-9.6567,120.2641,80.08,76,82,3.94,ID,1673524702
Semey,50.4111,80.2275,-0.18,65,0,20.13,KZ,1673524703
Mahébourg,-20.4081,57.7,84.49,58,40,13.8,MU,1673524703
Lapão,-11.3833,-41.8319,73.47,72,83,9.4,BR,1673524703
Puerto Escondido,15.85,-97.0667,70.63,88,0,6.91,MX,1673524703
Gambiran,-6.7988,111.4951,77.0,84,84,3.11,ID,1673524709
Provideniya,64.3833,-173.3,4.68,94,100,9.33,RU,1673524435
Itoman,26.1247,127.6694,71.62,68,40,12.66,JP,1673524709
Piaçabuçu,-10.4056,-36.4344,82.94,62,98,10.16,BR,1673524709
Saint-Philippe,-21.3585,55.7679,87.39,77,75,10.92,RE,1673524709
Pevek,69.7008,170.3133,-18.4,87,16,2.86,RU,1673524709
Thompson,55.7435,-97.8558,-12.73,100,15,3.2,CA,1673524710
Castro,-24.7911,-50.0119,68.18,81,100,2.21,BR,1673524710
Hermanus,-34.4187,19.2345,77.81,61,54,28.27,ZA,1673524710
Chui,-33.6971,-53.4616,74.3,71,80,4.45,UY,1673524710
Kruisfontein,-34.0033,24.7314,84.88,38,98,13.78,ZA,1673524710
Bam,29.106,58.357,41.63,31,1,14.0,IR,1673524711
Bethel,41.3712,-73.414,36.75,82,94,6.64,US,1673524711
Ishim,56.1128,69.4902,10.96,92,100,16.78,RU,1673524711
St. George's,12.0564,-61.7485,78.48,78,20,11.5,GD,1673524711
Perth,-31.9333,115.8333,77.0,69,0,13.8,AU,1673524712
Port Alfred,-33.5906,26.891,82.18,84,74,5.99,ZA,1673524712
Lavrentiya,65.5833,-171.0,8.71,95,100,7.29,RU,1673524712
Lithgow,-33.4833,150.15,59.92,96,96,2.19,AU,1673524712
Bacolod City,10.6667,122.95,76.39,86,100,12.57,PH,1673524713
Tonantins,-2.8731,-67.8022,74.86,94,99,2.44,BR,1673524713
Pangnirtung,66.1451,-65.7125,-11.51,70,98,4.94,CA,1673524713
Ayan,56.45,138.1667,-4.4,74,99,10.4,RU,1673524713
Swan River,52.1058,-101.2676,4.89,85,16,10.36,CA,1673524713
Jacareacanga,-6.2222,-57.7528,76.87,89,97,2.86,BR,1673524713
Bengkulu,-3.8004,102.2655,78.98,80,95,4.29,ID,1673524713
Burns Lake,54.2331,-125.7533,26.02,99,98,2.93,CA,1673524714
Bluff,-46.6,168.3333,52.39,78,16,6.62,NZ,1673524714
Tagusao,9.1924,117.8141,79.54,79,99,1.05,PH,1673524714
Alofi,-19.0595,-169.9187,76.89,94,69,3.44,NU,1673524714
Cherskiy,68.75,161.3,-29.38,100,100,1.57,RU,1673524715
Lorengau,-2.0226,147.2712,81.14,81,100,8.81,PG,1673524715
Meulaboh,4.1363,96.1285,78.87,81,98,1.57,ID,1673524715
Faya,18.3851,42.4509,66.31,60,19,11.05,SA,1673524715
Bonthe,7.5264,-12.505,87.57,57,29,4.88,SL,1673524715
Yar-Sale,66.8333,70.8333,-17.82,100,84,4.56,RU,1673524715
Ozernovskiy,51.5,156.5167,12.09,87,55,14.23,RU,1673524716
Kumul,42.8,93.45,16.2,26,100,23.17,CN,1673524716
Naze,28.3667,129.4833,65.32,65,56,17.11,JP,1673524716
Atuona,-9.8,-139.0333,77.86,73,80,13.89,PF,1673524716
Ancud,-41.8697,-73.8203,52.65,75,68,3.53,CL,1673524717
Lüderitz,-26.6481,15.1594,73.45,62,42,19.01,NA,1673524717
Lagoa,39.05,-27.9833,61.23,93,100,20.74,PT,1673524717
Xai-Xai,-25.0519,33.6442,83.19,60,80,13.2,MZ,1673524717
Sassandra,4.95,-6.0833,87.37,55,21,5.26,CI,1673524723
Sampit,-2.5333,112.95,77.47,84,100,1.3,ID,1673524723
Port Augusta,-32.5,137.7667,78.15,47,8,10.11,AU,1673524723
Atar,20.5169,-13.0499,77.94,9,0,16.08,MR,1673524723
Tuktoyaktuk,69.4541,-133.0374,-12.1,91,100,9.06,CA,1673524723
Glace Bay,46.1969,-59.957,21.58,84,75,6.91,CA,1673524724
Homer,59.6425,-151.5483,31.8,88,100,3.0,US,1673524724
Hithadhoo,-0.6,73.0833,79.43,76,44,9.08,MV,1673524724
Caravelas,-17.7125,-39.2481,83.44,64,93,7.49,BR,1673524724
Constitución,-35.3333,-72.4167,60.21,49,54,6.51,CL,1673524566
Micheweni,-4.9667,39.8333,84.02,69,66,13.85,TZ,1673524725
Beringovskiy,63.05,179.3167,-4.77,97,99,11.21,RU,1673524725
Paamiut,61.994,-49.6678,5.83,84,38,8.21,GL,1673524725
Nikolskoye,59.7035,30.7861,24.69,89,100,12.39,RU,1673524725
Beloha,-25.1667,45.05,85.12,59,56,11.14,MG,1673524726
Atzitzintla,18.9,-97.3167,42.96,74,3,3.67,MX,1673524726
Yakeshi,49.2833,120.7333,-4.14,99,97,5.97,CN,1673524726
Dikson,73.5069,80.5464,-20.67,93,100,9.01,RU,1673524726
Fairbanks,64.8378,-147.7164,2.61,83,79,2.55,US,1673524726
Lebu,-37.6167,-73.65,56.44,71,1,16.91,CL,1673524726
Abomsa,9.9833,39.9833,79.48,27,15,13.09,ET,1673524727
Mataura,-46.1927,168.8643,44.96,98,42,1.83,NZ,1673524727
Dilla,6.41,38.31,82.31,29,38,8.1,ET,1673524727
Puerto Ayora,-0.7393,-90.3518,70.56,96,73,6.58,EC,1673524727
Bathsheba,13.2167,-59.5167,77.61,83,20,14.97,BB,1673524727
New Norfolk,-42.7826,147.0587,65.7,96,21,1.36,AU,1673524727
Maragogi,-9.0122,-35.2225,83.08,58,75,10.31,BR,1673524728
Avarua,-21.2078,-159.775,75.25,83,40,6.91,CK,1673524728
Salalah,17.0151,54.0924,81.16,46,0,10.96,OM,1673524713
Novo Aripuanã,-5.1206,-60.3797,79.14,76,88,2.98,BR,1673524728
Jamestown,42.097,-79.2353,39.72,74,100,12.66,US,1673524728
Bulawayo,-20.15,28.5833,82.45,25,0,9.78,ZW,1673524728
Kaitangata,-46.2817,169.8464,47.88,89,39,0.69,NZ,1673524728
Cidreira,-30.1811,-50.2056,80.64,54,2,3.85,BR,1673524728
Fortuna,40.5982,-124.1573,59.67,90,100,26.46,US,1673524729
Harper,4.375,-7.7169,86.04,60,11,4.54,LR,1673524729
Losal,27.4,74.9167,70.2,30,1,8.43,IN,1673524729
Vangaindrano,-23.35,47.6,83.28,64,56,7.54,MG,1673524729
Maracás,-13.4411,-40.4308,70.0,76,100,4.72,BR,1673524729
Bubaque,11.2833,-15.8333,76.53,48,31,7.31,GW,1673524730
Los Llanos de Aridane,28.6585,-17.9182,66.13,60,40,13.8,ES,1673524730
Vardø,70.3705,31.1107,33.78,93,75,26.46,NO,1673524730
Saint Paul Harbor,57.79,-152.4072,33.31,93,100,6.91,US,1673524730
Barrow,71.2906,-156.7887,-5.78,71,100,28.77,US,1673524730
Kiknur,57.3034,47.2011,13.89,88,100,14.32,RU,1673524730
Guerrero Negro,27.9769,-114.0611,56.16,73,3,0.96,MX,1673524731
Mount Isa,-20.7333,139.5,83.97,58,75,5.75,AU,1673524731
Upernavik,72.7868,-56.1549,-6.59,85,100,7.67,GL,1673524736
Arraial do Cabo,-22.9661,-42.0278,78.76,78,0,9.22,BR,1673524737
Kirakira,-10.4544,161.9205,79.03,85,94,4.45,SB,1673524738
Kisangani,0.5167,25.2,87.3,43,100,3.62,CD,1673524738
Ahipara,-35.1667,173.1667,61.38,92,37,4.63,NZ,1673524738
Bandarbeyla,9.4942,50.8122,78.15,62,87,21.94,SO,1673524738
Dingle,10.9995,122.6711,74.41,89,100,8.66,PH,1673524738
Vila Velha,-20.3297,-40.2925,82.94,73,40,13.8,BR,1673524738
Kangaatsiaq,68.3065,-53.4641,-13.05,97,57,11.03,GL,1673524739
Sola,-13.8833,167.55,77.95,87,100,13.4,VU,1673524739
Ulu-Telyak,54.9086,56.9669,2.7,85,100,10.65,RU,1673524739
Tasiilaq,65.6145,-37.6368,0.63,61,100,4.81,GL,1673524739
George Town,5.4112,100.3354,84.13,78,20,9.22,MY,1673524739
Leningradskiy,69.3833,178.4167,-16.64,100,97,4.07,RU,1673524740
Manjacaze,-24.7117,33.8828,84.72,54,69,12.84,MZ,1673524740
Northam,51.0333,-4.2167,53.38,98,100,27.02,GB,1673524741
Palmer,42.1584,-72.3287,32.25,78,100,3.44,US,1673524741
Souillac,-20.5167,57.5167,84.58,58,40,13.8,MU,1673524741
Havøysund,70.9963,24.6622,34.03,88,100,7.47,NO,1673524741
Rawson,-43.3002,-65.1023,59.58,59,100,33.46,AR,1673524741
Isangel,-19.55,169.2667,77.18,78,6,5.17,VU,1673524741
Kāvali,14.9167,79.9833,75.34,64,63,8.66,IN,1673524741
Xiaoweizhai,26.1903,107.5125,57.18,94,59,4.18,CN,1673524742
Nyurba,63.2842,118.3319,-48.8,100,76,3.33,RU,1673524742
Norman Wells,65.282,-126.8329,-0.36,85,100,2.3,CA,1673524742
Charter Township of Clinton,42.587,-82.9199,43.12,93,75,1.01,US,1673524742
Aquiraz,-3.9014,-38.3911,86.45,71,81,13.11,BR,1673524742
Invercargill,-46.4,168.35,48.18,90,22,3.71,NZ,1673524743
Anadyr,64.75,177.4833,-12.5,75,75,6.71,RU,1673524743
Arandis,-22.4167,14.9667,92.91,22,98,15.5,NA,1673524743
Husavik,66.0449,-17.3389,27.05,91,97,6.58,IS,1673524743
Kieta,-6.2167,155.6333,79.74,78,100,4.18,PG,1673524744
Mukhen,48.1,136.1,13.95,95,18,4.23,RU,1673524744
Verāval,20.9,70.3667,75.25,69,0,15.97,IN,1673524744
Ribeira Grande,38.5167,-28.7,63.0,94,75,11.99,PT,1673524744
Butembo,0.15,29.2833,72.93,40,72,4.9,CD,1673524744
Arlit,18.7369,7.3853,75.51,9,1,2.73,NE,1673524744
Qaanaaq,77.484,-69.3632,-6.29,98,100,0.6,GL,1673524745
Vienna,48.2085,16.3721,54.75,55,20,15.99,AT,1673524479
Hengshui,37.7322,115.7011,41.4,80,100,4.61,CN,1673524745
Mwense,-10.3845,28.698,77.23,71,94,3.65,ZM,1673524745
Lufilufi,-13.8745,-171.5986,74.98,69,99,4.56,WS,1673524745
Sorab,14.3833,75.1,84.04,17,41,5.26,IN,1673524745
Muyezerskiy,63.9333,31.65,28.06,92,100,13.38,RU,1673524745
Grants,35.1473,-107.8514,16.03,92,0,4.61,US,1673524751
Murakami,38.2333,139.4833,44.49,83,94,3.98,JP,1673524751
Manaus,-3.1019,-60.025,79.3,83,75,5.75,BR,1673524725
Kapaa,22.0752,-159.319,66.09,85,15,9.06,US,1673524751
Morros,-9.4467,-46.3003,82.49,60,79,1.39,BR,1673524751
Airai,-8.9266,125.4092,60.17,95,100,1.39,TL,1673524753
Port Moresby,-9.4431,147.1797,76.42,94,75,4.61,PG,1673524753
Khagaria,25.5,86.4833,62.55,41,0,4.85,IN,1673524753
Ponta do Sol,32.6667,-17.1,69.01,63,22,4.36,PT,1673524459
Clyde River,70.4692,-68.5914,5.23,61,100,10.36,CA,1673524754
Vokhma,58.9303,46.7586,12.83,93,100,11.1,RU,1673524754
Launceston,-41.45,147.1667,67.64,68,40,12.66,AU,1673524651
Tūkrah,32.5341,20.5791,61.88,54,79,14.47,LY,1673524755
Broome,42.2506,-75.833,35.71,88,100,11.5,US,1673524755
Esim,4.8699,-2.2405,86.9,57,57,6.91,GH,1673524755
Laas,46.6166,10.7002,39.02,63,100,1.83,IT,1673524755
Asău,46.4333,26.4,29.32,97,100,0.47,RO,1673524755
Sanary-sur-Mer,43.1178,5.8001,60.75,42,69,4.0,FR,1673524756
Tommot,58.9564,126.2925,-24.29,99,100,2.89,RU,1673524756
Oodweyne,9.4092,45.064,79.95,21,96,17.92,SO,1673524756
Cássia,-20.5831,-46.9219,69.64,93,97,3.78,BR,1673524756
Hilo,19.7297,-155.09,69.28,82,55,3.0,US,1673524756
Rūdiškės,54.5167,24.8333,32.27,98,100,10.22,LT,1673524756
Mankato,44.1636,-93.9994,18.18,94,93,10.6,US,1673524757
Zyryanka,65.75,150.85,-36.18,96,99,3.78,RU,1673524757
Tiksi,71.6872,128.8694,-30.68,97,100,5.53,RU,1673524757
Bukama,-9.2,25.85,75.43,84,100,3.51,CD,1673524757
Riyadh,24.6877,46.7219,57.34,50,81,8.3,SA,1673524754
Daultala,33.1925,73.1413,52.63,65,92,8.48,PK,1673524757
Fort Nelson,58.8053,-122.7002,4.59,85,100,2.3,CA,1673524757
Ponta Delgada,37.7333,-25.6667,63.32,94,75,19.57,PT,1673524758
Aklavik,68.2191,-135.0107,-22.9,98,96,3.83,CA,1673524758
Trairi,-3.2778,-39.2689,82.42,70,60,11.54,BR,1673524758
Yzeure,46.5644,3.355,51.04,72,100,8.97,FR,1673524758
Havelock,34.8791,-76.9013,54.95,77,100,5.88,US,1673524758
Kaabong,3.4836,34.1492,80.11,31,64,17.9,UG,1673524758
Omsukchan,62.5333,155.8,-25.02,100,100,3.27,RU,1673524759
Nome,64.5011,-165.4064,9.16,89,100,4.09,US,1673524759
Hammerfest,70.6634,23.6821,30.65,86,75,4.61,NO,1673524759
Praia da Vitória,38.7333,-27.0667,64.65,88,40,11.65,PT,1673524482
Takoradze,4.8845,-1.7554,85.98,59,14,8.32,GH,1673524759
Port-Cartier,50.0334,-66.8654,4.68,89,39,6.08,CA,1673524759
Maceió,-9.6658,-35.7353,85.44,61,40,10.36,BR,1673524760
Nelson Bay,-32.7167,152.15,73.0,82,0,8.01,AU,1673524760
Coruripe,-10.1256,-36.1756,83.48,59,82,11.59,BR,1673524760
Ust-Nera,64.5667,143.2,-36.6,98,100,3.0,RU,1673524765
Vallejo,38.1041,-122.2566,58.8,88,100,4.0,US,1673524766
San Lorenzo,-25.3333,-57.5333,81.54,83,0,10.36,PY,1673524767
Mehamn,71.0357,27.8492,31.91,86,0,19.57,NO,1673524503
Hong Kong,22.2855,114.1577,70.95,90,94,18.01,HK,1673524630
Mafinga,-7.25,35.0667,80.64,58,76,4.25,TZ,1673524767
Pozo Colorado,-23.4923,-58.7972,85.3,56,2,5.7,PY,1673524767
Cimarron Hills,38.8586,-104.6989,27.01,84,0,13.8,US,1673524767
Taoudenni,22.6783,-3.9836,78.12,16,2,12.21,ML,1673524768
Moyo,3.6609,31.7247,91.33,18,14,8.14,UG,1673524768
Mumford,5.2618,-0.759,83.64,64,74,11.03,GH,1673524768
Fairview,40.8126,-73.999,43.48,84,100,5.75,US,1673524768
Ayapel,8.3137,-75.1398,73.22,97,99,2.19,CO,1673524768
Chapleau,47.8405,-83.4034,19.49,93,75,3.44,CA,1673524769
Waterfoot,53.6929,-2.2525,52.3,94,100,8.99,GB,1673524769
Mount Gambier,-37.8333,140.7667,59.38,92,21,7.96,AU,1673524769
Zhaotong,27.3167,103.7167,50.25,41,0,6.78,CN,1673524769
Meihekou,42.5272,125.6753,27.77,87,100,4.45,CN,1673524769
Marigot,18.0667,-63.0833,78.04,87,20,9.22,MF,1673524769
Huarmey,-10.0681,-78.1522,69.26,80,95,7.31,PE,1673524769
Port Elizabeth,-33.918,25.5701,87.1,92,75,12.66,ZA,1673524709
Maţāy,28.419,30.7792,65.86,33,2,11.21,EG,1673524770
Ruhengeri,-1.4998,29.635,65.16,78,100,4.5,RW,1673524770
Tongchuanshi,35.0806,109.0897,42.1,71,0,3.91,CN,1673524770
Ewo,-0.8725,14.8206,88.75,46,91,3.24,CG,1673524770
Camopi,3.1655,-52.3158,74.98,93,97,2.68,GF,1673524770
Kalmunai,7.4167,81.8167,76.39,71,100,9.04,LK,1673524770
Booué,-0.0921,11.9385,82.17,72,99,3.0,GA,1673524771
Am Timan,11.0297,20.2827,89.38,13,18,4.47,TD,1673524771
Itanhém,-17.1664,-40.33,77.2,80,100,3.8,BR,1673524771
Dunmore Town,25.5,-76.65,72.79,57,0,10.33,BS,1673524771
Lac du Bonnet,50.2536,-96.0612,-5.1,100,99,3.04,CA,1673524771
Sørland,67.667,12.6934,40.86,89,100,14.85,NO,1673524771
Talnakh,69.4865,88.3972,-26.91,96,100,8.61,RU,1673524772
Bud,39.447,-86.1758,51.94,98,100,4.12,US,1673524772
Te Anau,-45.4167,167.7167,49.14,92,29,2.82,NZ,1673524772
Kulhudhuffushi,6.6221,73.07,79.12,67,76,8.37,MV,1673524772
Semporna,4.4818,118.6112,79.5,84,100,6.51,MY,1673524773
Sarai Alamgir,32.9012,73.7559,63.28,43,72,4.92,PK,1673524773
Chernyshevskiy,63.0128,112.4714,-40.32,95,100,6.67,RU,1673524773
Kilmallock,52.4,-8.5772,48.16,79,70,10.0,IE,1673524773
Ciudad Bolivar,8.1222,-63.5497,75.43,81,50,9.89,VE,1673524773
Coyhaique,-45.5752,-72.0662,49.95,76,40,4.61,CL,1673524774
Rengasdengklok,-6.1592,107.2981,79.65,78,95,5.55,ID,1673524774
Broken Hill,-31.95,141.4333,88.5,23,89,9.69,AU,1673524774
Suihua,46.6406,126.9969,33.48,88,91,12.39,CN,1673524774
Savonlinna,61.8699,28.88,28.45,93,100,14.97,FI,1673524779
Vao,-22.6667,167.4833,76.17,69,2,7.29,NC,1673524779
Fare,-16.7,-151.0167,79.21,81,100,16.69,PF,1673524780
Mar del Plata,-38.0023,-57.5575,68.83,72,0,7.0,AR,1673524590
Bitung,1.4451,125.1824,79.65,74,100,4.63,ID,1673524780
Lumberton,34.6182,-79.0086,55.4,69,99,7.23,US,1673524780
Drawsko Pomorskie,53.5306,15.8097,47.89,95,100,5.01,PL,1673524574
Kununurra,-15.7667,128.7333,85.98,74,100,10.36,AU,1673524780
Buenaventura,3.8801,-77.0312,72.79,94,99,2.37,CO,1673524780
Padang,-0.9492,100.3543,80.65,85,96,3.13,ID,1673524781
Akureyri,65.6835,-18.0878,26.53,86,75,5.75,IS,1673524781
Touros,-5.1989,-35.4608,84.83,57,43,15.08,BR,1673524781
Along,28.1667,94.7667,57.94,59,7,0.74,IN,1673524781
Sanguéya,10.7,-14.3667,91.76,24,34,3.29,GN,1673524781
Alta Floresta,-9.8756,-56.0861,74.14,91,100,2.15,BR,1673524781
Isla Aguada,18.7833,-91.4667,72.01,83,0,15.01,MX,1673524782
Fayetteville,35.0527,-78.8784,55.6,80,100,1.01,US,1673524782
Shingū,33.7333,135.9833,48.67,70,19,6.67,JP,1673524782
Ippy,6.2679,21.2247,96.03,13,93,4.07,CF,1673524782
Flinders,-34.5833,150.8552,70.38,77,34,6.35,AU,1673524782
Plettenberg Bay,-34.0527,23.3716,90.39,45,61,6.78,ZA,1673524782
Minas,-34.3759,-55.2377,76.93,52,9,8.3,UY,1673524782
Katobu,-4.9408,122.5276,76.78,85,79,3.44,ID,1673524783
Antofagasta,-23.65,-70.4,65.48,77,62,2.84,CL,1673524561
Grand Gaube,-20.0064,57.6608,84.6,78,22,7.0,MU,1673524783
Codrington,-38.2667,141.9667,60.01,93,15,8.97,AU,1673524783
Juneau,58.3019,-134.4197,37.09,100,100,0.0,US,1673524784
Saint-Pierre,-21.3393,55.4781,87.48,55,0,17.27,RE,1673524784
Saint-Paul,-21.0096,55.2707,87.91,82,55,1.66,RE,1673524784
Obihiro,42.9172,143.2044,20.61,89,4,2.51,JP,1673524784
Aksarka,66.5606,67.7975,-18.72,100,78,2.57,RU,1673524784
Arlington,32.7357,-97.1081,48.51,58,0,16.11,US,1673524784
Balakhninskiy,58.0106,114.2769,-17.99,91,100,12.66,RU,1673524785
Santa Rosa,14.3122,121.1114,80.58,79,100,9.48,PH,1673524785
Longyearbyen,78.2186,15.6401,26.44,86,75,9.22,SJ,1673524604
Esperance,-33.8667,121.9,64.31,85,51,14.74,AU,1673524595
Chokurdakh,70.6333,147.9167,-32.48,98,99,5.53,RU,1673524588
Heraklion,35.3279,25.1434,60.76,68,40,8.05,GR,1673524785
Hofn,64.2539,-15.2082,32.02,51,0,19.57,IS,1673524785
Kristinestad,62.2743,21.376,37.09,84,100,17.67,FI,1673524785
Aitape,-3.1374,142.3475,79.09,84,100,1.16,PG,1673524786
Sakakah,29.9697,40.2064,60.37,44,0,9.51,SA,1673524786
Burnie,-41.0667,145.9167,59.63,86,5,4.7,AU,1673524786
Palm Beach,26.6503,-80.4498,57.99,100,0,1.7,US,1673524786
Bulgan,48.8125,103.5347,-9.51,98,100,1.9,MN,1673524786
Karratha,-20.7377,116.8463,90.46,41,2,11.88,AU,1673524786
Mangrūl Pīr,20.3167,77.35,78.94,23,0,6.31,IN,1673524787
Zaozyornoye,45.1582,33.2787,45.09,59,87,14.99,UA,1673524787
Patiya,22.2931,91.9762,75.15,38,0,5.75,BD,1673524792
Abalak,58.1286,68.5944,9.77,92,100,10.8,RU,1673524792
Ţahţā,26.7693,31.5021,68.07,29,0,13.35,EG,1673524793
Carnarvon,-24.8667,113.6333,74.35,73,0,22.35,AU,1673524793
Pahrump,36.2083,-115.9839,43.25,57,22,2.44,US,1673524794
Klaksvík,62.2266,-6.589,38.32,73,100,15.64,FO,1673524794
Vigrestad,58.5667,5.7,41.59,89,100,4.97,NO,1673524794
Pasni,25.2631,63.471,59.67,32,0,34.72,PK,1673524794
Krasnoshchekovo,51.6708,82.7289,4.8,70,97,19.08,RU,1673524795
Aylmer,42.7668,-80.983,38.05,99,100,6.8,CA,1673524795
Sitka,57.0531,-135.33,38.8,88,69,8.03,US,1673524795
Tessalit,20.1986,1.0114,74.7,10,24,12.5,ML,1673524795
São Filipe,14.8961,-24.4956,76.48,61,0,13.4,CV,1673524795
Micco,27.8806,-80.5003,62.01,90,0,2.51,US,1673524795
Maravilha,-26.7608,-53.1725,75.61,51,3,2.48,BR,1673524795
Frederikshavn,57.4407,10.5366,41.92,90,86,14.81,DK,1673524796
Iqaluit,63.7506,-68.5145,-23.31,67,40,2.3,CA,1673524796
Marsh Harbour,26.5412,-77.0636,70.88,62,6,6.67,BS,1673524796
Corralillo,22.9819,-80.5856,67.23,76,1,8.19,CU,1673524796
Gatton,-27.55,152.2833,71.64,79,94,5.55,AU,1673524796
Kuybyshevo,47.8123,38.9073,26.28,83,100,17.0,RU,1673524797
At-Bashi,41.1702,75.8106,-13.85,90,85,3.0,KG,1673524797
Ternate,0.8,127.4,80.46,80,96,8.25,ID,1673524797
Murray,40.6669,-111.888,34.56,81,40,4.61,US,1673524797
Buraidah,26.326,43.975,55.85,49,77,10.36,SA,1673524521
Upata,8.0086,-62.3989,72.19,85,77,5.86,VE,1673524798
Saint-François,46.4154,3.9054,51.24,71,100,9.22,FR,1673524798
Srednekolymsk,67.45,153.6833,-28.1,98,100,5.7,RU,1673524798
Banjarmasin,-3.3244,114.591,80.74,86,100,2.86,ID,1673524799
Cartagena del Chairá,1.3349,-74.8429,70.3,99,100,0.96,CO,1673524799
Youghal,51.95,-7.8506,47.41,78,86,26.57,IE,1673524799
Saint-Agapit,46.5629,-71.4352,17.58,91,100,8.43,CA,1673524799
Novyy Urgal,51.0736,132.5642,4.03,97,99,0.89,RU,1673524799
Hambantota,6.1241,81.1185,86.34,70,20,4.61,LK,1673524799
Taltal,-25.4,-70.4833,66.36,82,67,2.71,CL,1673524799
Mezen',65.8522,44.24,23.76,93,100,12.59,RU,1673524800
Preeceville,51.95,-102.6677,-7.06,100,24,3.71,CA,1673524801
Port Keats,-14.25,129.55,81.09,81,80,9.24,AU,1673524803
Muros,42.7762,-9.0603,58.08,73,100,15.43,ES,1673524718
Nantucket,41.2835,-70.0995,39.15,84,100,15.12,US,1673524677
Srandakan,-7.9386,110.2506,78.73,82,94,6.6,ID,1673524812
Puertollano,38.6871,-4.1073,40.08,57,8,2.71,ES,1673524817
Farafangana,-22.8167,47.8333,82.31,66,60,8.88,MG,1673524841
Bambanglipuro,-7.95,110.2833,78.48,82,93,6.64,ID,1673524847
Severo-Kuril'sk,50.6789,156.125,23.59,76,99,29.86,RU,1673524853
Agadir,30.4202,-9.5982,68.45,51,44,5.82,MA,1673524833
Vestmanna,62.1564,-7.1664,36.52,87,40,10.36,FO,1673524864
Hwange,-18.3693,26.5019,89.98,29,12,5.97,ZW,1673524866
Koudougou,12.25,-2.3667,86.45,13,69,11.54,BF,1673524866
Dublin,37.7021,-121.9358,58.17,85,100,3.0,US,1673524758
Thinadhoo,0.5333,72.9333,80.49,74,69,13.22,MV,1673524866
Saint-Joseph,-21.3667,55.6167,86.38,76,75,9.15,RE,1673524810
Sarāhan,31.5167,77.8,36.82,85,65,4.27,IN,1673524869
Hirara,24.8,125.2833,72.09,82,4,20.94,JP,1673524869
Yulara,-25.2406,130.9889,88.77,32,68,4.29,AU,1673524871
Novoagansk,61.9449,76.6625,-0.89,97,100,8.21,RU,1673524874
Tautira,-17.7333,-149.15,75.76,92,100,17.16,PF,1673524875
Bucerías,20.75,-105.3333,65.98,84,0,4.41,MX,1673524876
